method,trial,bin,n_bin,coverage,mean_width
abs,20,0,39762,0.9990694633066747,2.3005934716978507
abs,20,1,40146,0.9905345488965277,2.3005934716978507
abs,20,2,40171,0.9372930721167011,2.3005934716978507
abs,20,3,40175,0.8405724953329184,2.3005934716978507
abs,20,4,39746,0.7313188748553313,2.3005934716978507
norm,20,0,39762,0.9277702328856697,0.877835337084927
norm,20,1,40146,0.8826284063169432,1.3558539932619968
norm,20,2,40171,0.9066739687834507,2.1314321830867353
norm,20,3,40175,0.8957809583074051,2.724957643616731
norm,20,4,39746,0.884868917626931,3.476874528960619
cqr,20,0,39762,0.9518132890699663,0.9989676044596358
cqr,20,1,40146,0.9134907587306332,1.4929647666961636
cqr,20,2,40171,0.9137686390679843,2.126039844331791
cqr,20,3,40175,0.8824642190416926,2.576211414526238
cqr,20,4,39746,0.8723645146681427,3.1313998042688347
abs,21,0,39762,0.9989688647452342,2.232631987118995
abs,21,1,40146,0.9883176406117671,2.232631987118995
abs,21,2,40171,0.9291777650543924,2.232631987118995
abs,21,3,40175,0.8273553204729309,2.232631987118995
abs,21,4,39746,0.7170784481457254,2.232631987118995
norm,21,0,39762,0.9229918012172426,0.8619127772603784
norm,21,1,40146,0.8761022268719175,1.3312609227748167
norm,21,2,40171,0.9017948271140873,2.092771337466342
norm,21,3,40175,0.889607965152458,2.675531174589031
norm,21,4,39746,0.8789815327328536,3.4138094638498155
cqr,21,0,39762,0.9222624616467985,0.9012133517031272
cqr,21,1,40146,0.8893040402530763,1.3952105139396547
cqr,21,2,40171,0.8979861093823903,2.028285591575283
cqr,21,3,40175,0.8671810827629123,2.4784571617697293
cqr,21,4,39746,0.8604136265284557,3.033645551512327
abs,22,0,39762,0.9990946129470348,2.3466258915318283
abs,22,1,40146,0.9916056394161311,2.3466258915318283
abs,22,2,40171,0.9427447661248164,2.3466258915318283
abs,22,3,40175,0.8486372121966397,2.3466258915318283
abs,22,4,39746,0.7418356564182559,2.3466258915318283
norm,22,0,39762,0.9363211106081183,0.910677609438114
norm,22,1,40146,0.8939122203955562,1.406580278974916
norm,22,2,40171,0.9171790595205497,2.211175015599879
norm,22,3,40175,0.9084007467330429,2.8269059217297374
norm,22,4,39746,0.8974236401147285,3.60695411837106
cqr,22,0,39762,0.9582515970021629,1.028004947878939
cqr,22,1,40146,0.9202162108304688,1.5220021101154668
cqr,22,2,40171,0.9176520375395185,2.1550771877510946
cqr,22,3,40175,0.8867205973864344,2.605248757945541
cqr,22,4,39746,0.8757107633472551,3.1604371476881385
abs,23,0,39762,0.9990694633066747,2.3182938705732186
abs,23,1,40146,0.9910078214517013,2.3182938705732186
abs,23,2,40171,0.9393592392521969,2.3182938705732186
abs,23,3,40175,0.8435345364032358,2.318293870573219
abs,23,4,39746,0.7354199164695818,2.3182938705732186
norm,23,0,39762,0.9291031638247573,0.882715000027235
norm,23,1,40146,0.8842973148009764,1.3633908401017147
