method,trial,bin,n_bin,coverage,mean_width
abs,31,4,39746,0.7286267800533387,2.287123462768821
norm,31,0,39762,0.9300085508777225,0.886330514220674
norm,31,1,40146,0.8854680416479849,1.368975155462211
norm,31,2,40171,0.9092131139379154,2.1520589375396635
norm,31,3,40175,0.8989670192906036,2.751328190451635
norm,31,4,39746,0.8888693201831631,3.510521687777866
cqr,31,0,39762,0.9611438056435793,1.0418644300124806
cqr,31,1,40146,0.9234294823892791,1.5358615922490082
cqr,31,2,40171,0.9196684175151228,2.1689366698846357
cqr,31,3,40175,0.8888612321095208,2.6191082400790826
cqr,31,4,39746,0.8770442308659991,3.1742966298216797
abs,32,0,39762,0.998943715104874,2.205495580830129
abs,32,1,40146,0.9871967319284611,2.205495580830129
abs,32,2,40171,0.9259167060815016,2.205495580830129
abs,32,3,40175,0.8221281891723708,2.205495580830129
abs,32,4,39746,0.7117697378352539,2.205495580830129
norm,32,0,39762,0.9190684573210604,0.8504183448993938
norm,32,1,40146,0.8713944104020326,1.3135072833865074
norm,32,2,40171,0.8978865350626074,2.06486222737985
norm,32,3,40175,0.8845799626633478,2.6398504039503
norm,32,4,39746,0.8740502188899512,3.3682830451555303
cqr,32,0,39762,0.9335295005281424,0.9351074779593604
cqr,32,1,40146,0.8976984008369452,1.429104640195888
cqr,32,2,40171,0.9033631226506684,2.0621797178315155
cqr,32,3,40175,0.872906036092097,2.5123512880259624
cqr,32,4,39746,0.8648165853167614,3.06753967776856
abs,33,0,39762,0.9990443136663145,2.2715330686628326
abs,33,1,40146,0.989538185622478,2.2715330686628326
abs,33,2,40171,0.934056906723756,2.2715330686628326
