method,trial,coverage,mean_width,q_hat,ssc_worst,crossing_rate,sigma_clip_rate
cqr,117,0.88679,1.9644171209536796,0.027450536454461424,0.8748156111708378,0.0,
abs,118,0.8967,2.270837086171987,1.135418543085993,,,
norm,118,0.895915,2.088603511108892,2.116245967407228,0.8799,,5e-05
cqr,118,0.89931,2.024994848194738,0.057739400074990455,0.8830337724670649,0.0,
abs,119,0.899045,2.292166971021047,1.1460834855105242,,,
norm,119,0.87635,1.9700862182804852,1.9961601101910944,0.8602,,5e-05
cqr,119,0.892215,1.9904876553268864,0.04048580364106469,0.8788590855685824,0.0,
abs,120,0.90253,2.3240861195030647,1.1620430597515332,,,
norm,120,0.902875,2.1359026401277035,2.1641710956163585,0.886875,,5e-05
cqr,120,0.89578,2.007101623563552,0.04879278775939749,0.8809339299552533,0.0,
abs,121,0.906225,2.3599506427895136,1.1799753213947572,,,
norm,121,0.904645,2.1475240857639535,2.1759463499106015,0.888925,,5e-05
cqr,121,0.904385,2.052472554001833,0.07147825297853783,0.885883558733095,0.0,
abs,122,0.882485,2.14717288189024,1.073586440945119,,,
norm,122,0.90855,2.1750540491101815,2.2038406695382613,0.892975,,5e-05
