method,trial,coverage,mean_width,q_hat,ssc_worst,crossing_rate,sigma_clip_rate
norm,62,0.909585,2.1829906830032972,2.2118823439785076,0.89385,,5e-05
cqr,62,0.916485,2.123887390787057,0.10718567137115009,0.8933330000249982,0.0,
abs,63,0.9052,2.3489595796495806,1.1744797898247903,,,
norm,63,0.88139,1.9988324197281127,2.025286764708456,0.86515,,5e-05
cqr,63,0.89853,2.020838229767607,0.05566109086142479,0.8824338174636902,0.0,
abs,64,0.91618,2.4645827675521357,1.2322913837760674,,,
norm,64,0.90592,2.1562964563030635,2.1848348218868536,0.890025,,5e-05
cqr,64,0.90518,2.056836577181416,0.0736602645683293,0.8861335399845012,0.0,
abs,65,0.89983,2.2996619130324234,1.1498309565162113,,,
norm,65,0.891315,2.058592987765522,2.0858382578216643,0.875175,,5e-05
cqr,65,0.889735,1.978532520804199,0.0345082363797212,0.877140785558917,0.0,
abs,66,0.90926,2.3914872825205795,1.1957436412602902,,,
norm,66,0.892675,2.067310436894801,2.0946710815087797,0.8766,,5e-05
