model,trial,coverage,width
mlp,128,0.90825,1.886494893245703
constant,129,0.8744,2.7875128177684587
ridge,129,0.889005,2.127656332485357
rf,129,0.88382,1.7002243855725356
gbm,129,0.88007,1.668759583773832
mlp,129,0.89019,1.7868688498802574
constant,130,0.896085,2.9244040706442114
ridge,130,0.89961,2.1898195474713233
rf,130,0.89937,1.7766455617786299
gbm,130,0.89786,1.7562199378812355
mlp,130,0.895365,1.8141911933210946
constant,131,0.921085,3.1159216962038627
ridge,131,0.909195,2.2499216094890793
rf,131,0.903185,1.79804040800878
gbm,131,0.897905,1.7563718104367212
mlp,131,0.90527,1.8692367011844213
constant,132,0.878835,2.8137310695422935
ridge,132,0.91295,2.27580749587677
rf,132,0.9056,1.811015971087238
gbm,132,0.900345,1.768019609548249
mlp,132,0.9069,1.87855390866667
constant,133,0.878245,2.8104063638156473
ridge,133,0.891,2.1392888354249404
rf,133,0.873875,1.6553935088368574
gbm,133,0.86725,1.6133076845662546
mlp,133,0.886045,1.7670662962286756
constant,134,0.851785,2.65996255673607
ridge,134,0.887415,2.118991648648981
rf,134,0.89886,1.7737773082211477
gbm,134,0.898135,1.7576025577427097
mlp,134,0.90183,1.8499307157639446
constant,135,0.89258,2.900889059004758
ridge,135,0.924155,2.35417659536336
rf,135,0.90252,1.794067957454119
gbm,135,0.909255,1.8165176978957658
mlp,135,0.911965,1.9087664744183057
constant,136,0.92756,3.169812848691123
ridge,136,0.920005,2.3246475878524384
rf,136,0.915995,1.8706579042908584
gbm,136,0.912475,1.8336430235985208
mlp,136,0.8913,1.7926413116652102
constant,137,0.92596,3.1559237410005165
ridge,137,0.915965,2.2964341123958754
rf,137,0.900695,1.7839130396372807
gbm,137,0.902915,1.781306480300946
mlp,137,0.921875,1.9721743164360894
constant,138,0.884425,2.848868091315616
ridge,138,0.889185,2.128956878938502
rf,138,0.89135,1.736621777757009
gbm,138,0.90264,1.7799233419370104
mlp,138,0.905465,1.8701932249002107
constant,139,0.90566,2.9923395411886826
ridge,139,0.87422,2.0494629645161293
rf,139,0.91443,1.861829667675952
gbm,139,0.90383,1.7859143990073787
mlp,139,0.90045,1.8421730636108564
constant,140,0.890205,2.885705707676088
ridge,140,0.90449,2.219378730298643
rf,140,0.896735,1.7631171518759599
gbm,140,0.882505,1.6797956146988038
mlp,140,0.904205,1.863265468368285
constant,141,0.898385,2.9400772576780874
ridge,141,0.89036,2.1356336113933496
rf,141,0.91711,1.877660946413412
gbm,141,0.910695,1.8241059016037187
mlp,141,0.920165,1.9605621713136943
constant,142,0.91089,3.033369952140357
ridge,142,0.910975,2.2624724982347066
rf,142,0.91032,1.8377818025005879
gbm,142,0.91771,1.8662465865638072
mlp,142,0.91369,1.919689783983804
constant,143,0.903795,2.979678388140024
ridge,143,0.88214,2.0903571710999924
rf,143,0.89371,1.7479529822231772
gbm,143,0.90786,1.8092210390021992
mlp,143,0.901865,1.8503922883714545
constant,144,0.86368,2.725567936651718
ridge,144,0.893305,2.152240134456747
