model,trial,coverage,width
ridge,50,0.893045,2.150850226163419
rf,50,0.89205,1.7402195343533888
gbm,50,0.88749,1.7042185793384512
mlp,50,0.89469,1.810064984005267
constant,51,0.868655,2.7545443563893457
ridge,51,0.88403,2.100848934851545
rf,51,0.9089,1.829738046628932
gbm,51,0.90079,1.770079104770144
mlp,51,0.913585,1.9190799530941174
constant,52,0.910025,3.02702407502012
ridge,52,0.896415,2.170787937094153
rf,52,0.89952,1.777486244529655
gbm,52,0.898595,1.7597522607480336
mlp,52,0.879045,1.7321211022967105
constant,53,0.89967,2.9496361363156165
ridge,53,0.90885,2.2478839144482725
rf,53,0.9142,1.8606402935447688
gbm,53,0.906045,1.7990271912861502
mlp,53,0.891215,1.7922614580125062
constant,54,0.90171,2.964404330487684
ridge,54,0.90774,2.241039616754724
rf,54,0.91085,1.841203082584982
gbm,54,0.90751,1.8074906668563888
mlp,54,0.91035,1.8990290062306163
constant,55,0.915195,3.0664641743765264
ridge,55,0.90619,2.230611793619066
rf,55,0.92057,1.8983053630936708
gbm,55,0.917865,1.8672356495473574
mlp,55,0.92093,1.9658189878919003
constant,56,0.88202,2.8343861709542475
ridge,56,0.89206,2.145021856384467
rf,56,0.8866,1.7133424079348738
gbm,56,0.891195,1.7219204276217435
mlp,56,0.89439,1.8083604203077703
constant,57,0.90443,2.983825344056906
ridge,57,0.902975,2.21014587477627
rf,57,0.90477,1.8066158428160468
gbm,57,0.922365,1.894508116130603
mlp,57,0.912835,1.9145621946695461
constant,58,0.887665,2.868638579145734
ridge,58,0.89643,2.170864833162004
rf,58,0.887435,1.7170928498899651
gbm,58,0.90677,1.803155678986061
mlp,58,0.9069,1.8785576470771492
constant,59,0.895475,2.920531821217281
ridge,59,0.885975,2.111578891156178
rf,59,0.888305,1.7210203052841326
gbm,59,0.873715,1.640881561001462
mlp,59,0.89785,1.8275415861746718
constant,60,0.890735,2.8892599786634428
ridge,60,0.897395,2.176238419458789
rf,60,0.890625,1.7329055749224875
gbm,60,0.90751,1.8075193082305465
mlp,60,0.90313,1.857434751635943
constant,61,0.899565,2.948696202655568
ridge,61,0.922175,2.339562361688774
rf,61,0.905795,1.8122111537311154
gbm,61,0.90859,1.8128383194577369
mlp,61,0.89786,1.8276082245003469
constant,62,0.890235,2.886109329823359
ridge,62,0.89631,2.17014550497567
rf,62,0.891905,1.7396761896543904
gbm,62,0.884455,1.689559243917972
mlp,62,0.87039,1.6932924776222582
constant,63,0.919035,3.0999079766000133
ridge,63,0.917715,2.3087954257153083
rf,63,0.89763,1.767489317368326
gbm,63,0.914055,1.8433867319390367
mlp,63,0.901055,1.845269540039189
constant,64,0.88544,2.855926045563816
ridge,64,0.883095,2.096026148111722
rf,64,0.89047,1.732148836586196
gbm,64,0.903935,1.7865993391706072
mlp,64,0.886005,1.7667826181384458
constant,65,0.91399,3.057629112217084
ridge,65,0.93058,2.40408173988446
rf,65,0.91174,1.8464822578045328
gbm,65,0.90879,1.8140102819433257
mlp,65,0.913465,1.9184634651540704
constant,66,0.889295,2.8797046553687577
ridge,66,0.8836,2.0986193933541295
rf,66,0.90406,1.8024434152421005
gbm,66,0.898575,1.759651134778473
mlp,66,0.89512,1.8127073679271066
constant,67,0.9157,3.07038220399964
ridge,67,0.90768,2.240509093507671
rf,67,0.88643,1.712431550389189
gbm,67,0.898135,1.7576089290418082
mlp,67,0.88815,1.7767760665953427
constant,68,0.89711,2.9312033888078917
ridge,68,0.89041,2.135839146903403
rf,68,0.888015,1.7198111717768332
gbm,68,0.892345,1.7280858182192564
mlp,68,0.8874,1.7730383748114324
constant,69,0.90063,2.957168228285922
ridge,69,0.908055,2.242756360011433
rf,69,0.90572,1.8116481689485986
gbm,69,0.91034,1.8222342157246099
mlp,69,0.894315,1.8080214450633747
constant,70,0.90692,3.002305971203799
